"project_name","type","credits_issued"
"Mampuri Wind Power Project Sri Lanka - Pre CDM VERs","Wind","7078"
"Cummins Marigat Power Project","Biomass",NA
"Vinh Son 5 Hydropower Project","Hydropower",NA
"Chi Khe Hydropower Project","Hydropower",NA
"Song Chung Hydropower Project","Hydropower","69860"
"Za Hung Hydropower Project","Hydropower","590794"
"Nam Ngan Hydropower project","Hydropower","97484"
"Yongren Ganbala Grid-connected Photovoltaic Power Project-Pre CDM clone","Solar","16373"
"Soke Wind Power Plant Project","Wind","184899"
"KAROVA WPP","Wind","84008"
"Soma III Wind Farm","Wind","1254749"
"Karacayir Wind Power Plant","Wind",NA
"Solar for Forest","Solar","1938"
"Dilek Wind Power Plant","Wind","60213"
"San Alejo Hydroelectric Project","Hydropower",NA
"Qinghai Delingha Xiehe Solar PV Power Generation Project","Solar",NA
"Qinghai Shineng Gonghe 30MWp Grid-connected PV Power Generation Project","Solar",NA
"Qinghai Delingha Xiehe Phase II and Phase III Bundled Solar PV Power Generation Project","Solar","190935"
"Programme of Activities for the Development and Promotion of Renewable Energy","Hydropower",NA
"Nam Nga 2 Hydropower Project","Hydropower","53837"
"GEN+: Alejandría Small Hydropower (SHP) Run-of-the-River CDM Project Bundle","Hydropower",NA
"Solar Water Heater Program in India - PoA","Solar",NA
"Svilosa Biomass Project","Biomass","531363"
"*Te Apiti Wind Farm","Wind","605811"
"ALASEHIR GEOTHERMAL POWER PLANT","Geothermal",NA
"*Project White Hill","Wind","31895"
"Los Santos Wind Power Project","Wind","33380"
"Solar Water Heater Program in India - CPA-1","Solar","180387"
"Saritepe Wind Power Plant","Wind","128325"
"Demirciler Wind Power Plant","Wind","167918"
"Akbuk II Wind Farm Project Turkey","Wind",NA
"GS3413 - Household Solar Lighting Systems in India","Solar",NA
"Solar Thermal Power Plant by Godawari Green Energy Limited","Solar","610967"
"*4.5 MW Biomass (low density Crop Residues) based Power Generation unit of Malavalli Power Plant Pvt Ltd. (300011)","Biomass","91773"
"*Anemon Intepe Wind Farm Turkey","Wind","402387"
"KONAKPINAR RES","Wind",NA
"AKYURT RES","Wind",NA
"ULUBORLU WPP","Wind","421509"
"Samli 114 MW Wind Power Project Turkey","Wind","545360"
"49.5 MW Sachal Wind Power Project Jhampir","Wind","513993"
"Yahyali Wind Power Plant","Wind","431252"
"Nam Pha Gnai Hydropower Project","Hydropower","313256"
"Hanbao Agricultural Renewable Energy Project","Biomass","44366"
"Yuntdag Wind Power Project Turkey","Wind","1644035"
"Tuzla 7.5 MW Geothermal Power Plant","Geothermal","79735"
"20 MW Biomass Power Project at Godawari Power and Ispat Limited Chhattisgarh","Biomass","690078"
"*Zengamina Mini Hydro Scheme- Zambia","Hydropower","3481"
"Airres-4 WPP","Wind","531675"
"Guacamaya Small Scale Hydropower Programme of Activities","Hydropower",NA
"Panasolar Photovoltaic Project","Solar",NA
"Sapdagi Wind Power Plant 55 MW","Wind",NA
