"project_name","scope","credits_issued"
"TSH GROUPED BIOGAS RECOVERY PROJECT","Supply Chain",NA
"Weixin Urban and Rural Organic Waste Management Center in Yunnan Province","Supply Chain",NA
"Zonguldak Landfill Gas to Electricity Project","Supply Chain",NA
"12.5 MW Bundled grid-connected wind electricity generation project in Karnataka, India","Renewables","80565"
"Wu Cheng Geothermal Based Space Heating System","Renewables",NA
"Karidja forest restoration project","Reforestation",NA
"Santa Nicolasa North Patagonia Regenerative Grazing Project","Reforestation",NA
"Kijani Forestry smallholder farmer forestry project","Reforestation",NA
"Grouped Project Sul da Bahia","Reforestation",NA
"Reduction of GHG emission by energy efficient led lights installation in Ghaziabad Nagar Nigam","Supply Chain",NA
"Municipal Solid Waste Treatment by Composting in Ghaziabad Nagar Nigam","Supply Chain",NA
"Methane Capture and Destruction at Simplot's Moses Lake Wastewater Treatment Facility","Supply Chain","424555"
"Restore Africa: Restoring trees and livelihoods in Kenya","Reforestation",NA
"Lushan MSW Incineration Project","Supply Chain",NA
"Inner Mongolia Hinggan League Improved Grassland Management Project","Reforestation",NA
"Mejuruá Project","Reforestation",NA
"Nkhotakota Solar PV project","Renewables",NA
"Guangxi Baiduoshou Composting Project","Supply Chain",NA
"Agroforestry For Livelihoods","Reforestation",NA
"RIWNE OBLAST FOREST PRESERVATION PROJECT (Conversion of logged to protected forest)","Reforestation",NA
"Wastewater Treatment with Biogas Technology in a Tapioca Processing Plant at P.V.D. International Company Limited, Thailand","Supply Chain","72267"
"Maodeng Pasture Improved Grassland Management Project","Reforestation",NA
"Qixian MSW Incineration Project","Supply Chain",NA
"Varanasi Smart City Bio-Conversion Project","Supply Chain",NA
"Carbon Reduction through Paper Recycling","Supply Chain",NA
"Working Trees supporting eastern US Silvopasture, Project 1","Reforestation",NA
"Jiangxi Xinsheng Swine Farm Manure Management System GHG Mitigation Project","Supply Chain",NA
"Amazon Partners 20","Reforestation",NA
"Liyang 15 MW Low-concentration CMM Power Generation Project","Supply Chain",NA
"Zhoubai Hydroelectric Project","Renewables","257608"
"Midshore Regional Solid Waste Facility (MRSWF) Landfill Gas Combustion Project","Supply Chain","308213"
"Improved cropland management project in Fan","Supply Chain",NA
"Improved cropland management project in Qingfeng","Supply Chain",NA
"Improved cropland management project in Jiaoqu","Supply Chain",NA
"Improved cropland management project in Zhaozhou","Supply Chain",NA
"Improved cropland management project in Keyouqianqi","Supply Chain",NA
"Improved cropland management project in Hengshan","Supply Chain",NA
"Improved cropland management project in Yuli","Supply Chain",NA
"Improved cropland management project in Zhaoyuan","Supply Chain",NA
"Weibei Pipeline Associated Gas Recovery Project","Supply Chain",NA
"Brazil Pastureland Regeneration with Native Palm Silvopasture","Reforestation",NA
"Garganta da Jararaca Small Hydroelectric Power Plant (SHP) - Atiaia Energia S.A. Project Activity","Renewables","4929"
"SOIL CARBON SEQUESTRATION BY ADOPTION AND MAINTENANCE OF CLIMATE-SMART AGRICULTURE PRACTICES IN DIFFERENT CROP USE AND DEGRADED PASTURE RECUPERATION.","Supply Chain",NA
"Silvador Climate Action","Reforestation",NA
"Argentina Gran Chaco Region REDD+ Project","Reforestation",NA
"Poultry Litter based Biogas Power Generation Project in Nashik, Maharashtra, India","Supply Chain",NA
"Binzhou Jingyang Composting project","Supply Chain",NA
"Dongzong Sustainable Grassland Management Project","Reforestation",NA
"REVIVE ENRIVONMENT IMPROVED  COOKSTOVE PROJECT IN PAKISTAN","Supply Chain",NA
"Qitai Shuifa Improved Grassland Management Project","Reforestation",NA
"TABREED DISTRICT COOLING GROUP PROJECT","Supply Chain",NA
"The VCF Group Biogas Projects at Nipat and Songphol Farm","Supply Chain","109929"
"Muara Teweh Conservation Project","Reforestation",NA
"Electrify Africa","Supply Chain",NA
"The Republic of the Congo Improved Forest Management Project","Reforestation",NA
"GHG MITIGATION FROM METHANE AVOIDANCE THROUGH ORGANIC DECOMPOSITION OF WASTE","Supply Chain",NA
"basilicata bamboo","Reforestation",NA
"Sichuan Lizhou Improved Forest Management Project","Reforestation",NA
"Shaanxi Fengxian Improved Forest Management Project","Reforestation",NA
"Gansu Huanghe Bingling Hydropower Station Project","Renewables","2632747"
"Modal shift in transportation of cargo from road transportation to more efficient transportation","Supply Chain",NA
"Reducing Gas Leakages within the Hududgaz Gas Distribution Networks across Uzbekistan","Supply Chain",NA
"INTELLIGENT AGRICULTURE OF THE MEDITERRANEAN","Supply Chain",NA
"Tech-Bank Animal Waste Management Systems (AWMS) GHG Mitigation Project in Fuyang, Anhui","Supply Chain",NA
"Decarbonisation of UK Homes","Supply Chain",NA
"SHIFT FROM ROAD FREIGHT TO PIPELINE IN TRANSPORTATION OF LIQUID FUELS IN BRAZIL","Supply Chain",NA
"REDD+ Esteros y Manglares","Reforestation",NA
"The Zambia Project -- Safe drinking water supply project in Western Zambia","Supply Chain",NA
"Community-Based Mangrove Conservation and Restoration in Sierra Leone","Reforestation",NA
"Bundled grid-connected wind electricity generation project identified as Bundle E4 in Karnataka, India","Renewables",NA
"THE NAGALAND 4 CHANGE REDD+ PROJECT","Reforestation",NA
"SUNDARI MANGROVE RESTORATION PROJECT IN THE INDIAN SUNDARBANS","Reforestation",NA
"Amazônidas REDD+ AUDD Grouped Project","Reforestation",NA
"Leconi Agroforestry Project in Haut-Ogooue (LAPHO)","Reforestation",NA
"Al Multaqa Landfill Gas Recovery Project","Supply Chain","39229"
"Sodom Hanba Improved Grassland Management Project","Reforestation",NA
"RECYCLING ROADWAYS FOR CARBON EMISSION REDUCTIONS – GLOBAL EMISSIONAIRY – PROJECT CALIFORNIA USA","Supply Chain",NA
"RECYCLING ROADWAYS FOR CARBON EMISSION REDUCTIONS – GLOBAL EMISSIONAIRY – U.S. PROJECT #2","Supply Chain",NA
"Tech-Bank Animal Waste Management Systems (AWMS) GHG Mitigation Project in Chuzhou& Bengbu, Anhui","Supply Chain",NA
"Heze Tech-Bank Animal Waste Management Systems (AWMS) GHG Mitigation Project","Supply Chain",NA
"Maracá Ceramic Fuel Switching Project","Renewables","144973"
"Barka Landfill Gas Recovery Project","Supply Chain",NA
"Hubei Badong IFM PROJECT","Reforestation",NA
"UÁKIRY REDD+ AUDD  GROUPED PROJECT","Reforestation",NA
"BiodeS Biogas Recovery and Electricity Generation","Supply Chain",NA
"Hunan Fufeng Composting Project","Supply Chain",NA
"Huaian Tech-Bank Animal Waste Management Systems (AWMS) GHG Mitigation Project","Supply Chain",NA
"Strengthening rural livelihood through carbon finance: Agroforestry practices in Bareilly Forest Circle of Uttar Pradesh","Reforestation",NA
"Xinhangdao AWMS GHG Mitigation Project In Shangqiu City","Supply Chain",NA
"Anhui Zhujixi CMM Utilization Project","Supply Chain",NA
"Barro Forte Ceramic Switching Fuel Project","Renewables","170918"
"AJINOMOTO GROUPED PROJECT:  REDUCTION OF METHANE EMISSIONS IN  THE DAIRY SECTOR","Supply Chain",NA
"Shandong Zhucheng ALM Project","Supply Chain",NA
"IÇARA LANDFILL GAS PROJECT","Supply Chain",NA
"ALLCOT BLUE CARBON MANGROVE PROJECT IN SENEGAL (ABC  Mangrove Senegal)","Reforestation",NA
"7.5 MW Waste-to-Energy Power Plant by Goodwatts WTE Jamnagar Private Limited in Gujarat, India","Supply Chain",NA
"Muyuan Huainan AWMS GHG Mitigation Project in Anhui Province","Supply Chain",NA
"Muyuan Suzhou AWMS GHG Mitigation Project in Anhui Province","Supply Chain",NA
"Muyuan Handan AWMS GHG Mitigation Project in Hebei Province","Supply Chain",NA
"Muyuan Baicheng AWMS GHG Mitigation Project in Jilin Province","Supply Chain",NA
"Muyuan Shuangliao AWMS GHG Mitigation Project in Jilin Province","Supply Chain",NA
"Cassava Waste To Energy Project, Kalasin, Thailand (CWTE project)","Supply Chain","83655"
"Muyuan Changchun AWMS GHG Mitigation Project in Jilin Province","Supply Chain",NA
"Muyuan Urad AWMS GHG Mitigation Project in Inner Mongolia","Supply Chain",NA
"Muyuan Ongniud Banner AWMS GHG Mitigation Project in Inner Mongolia","Supply Chain",NA
"Muyuan Tongliao AWMS GHG Mitigation Project in Inner Mongolia","Supply Chain",NA
"MAHARASHTRA AND GUJARAT INITIATIVE FOR REGENERATIVE AGRICULTURE AND INCOME CREATION","Supply Chain",NA
"Muyuan Hinggan League AWMS GHG Mitigation Project in Inner Mongolia","Supply Chain",NA
"AS KOC POLATLI BIOGAS POWER PLANT","Supply Chain",NA
"GROUPED ARR PROJECT IN TELANGANA","Reforestation",NA
"Biochar Project-1 by WeAct","Supply Chain",NA
"REGENERATIVE AGRICULTURE AND CARBON PROJECT IN SPAIN","Supply Chain",NA
"6 MW Wind Power Project in Maharashtra by PTC India","Renewables","116858"
"Myanmar Kindar Solar Power Plant Project","Renewables",NA
"Rio Cautario Forest Conservation Project","Reforestation",NA
"Myanmar Kyeeonkyeewa Solar Power Plant Project","Renewables",NA
"Myanmar Satoketayar Solar Power Plant Project","Renewables",NA
"A-Thermal General & Hazardous Waste Treatment Plant","Supply Chain",NA
"Better cooking for a better health In Rusizi district - Rwanda","Supply Chain",NA
"Boreal Wildlands Forest Carbon Offset Project","Reforestation",NA
"Nam Houng - 1 Hydro Power Project","Renewables",NA
"Biogas-based Manure Management Program","Supply Chain",NA
"Hubei Jiugongshan Wind Farm CDM Project","Renewables","50859"
"PIEMONTE BAMBOO","Reforestation",NA
"Symbiosis Continuous Cover Forest Project","Reforestation",NA
"Cycling the Change","Supply Chain",NA
"Carbon Emission Reduction Project through Improved Water Management in Bio-farming","Supply Chain",NA
"Varanasi Harit Koyla Pariyojna","Supply Chain",NA
"Enhancing Livelihoods of Farmers in Gujarat through Agroforestry Plantations by SHBVM","Reforestation",NA
"Wahei Hydroelectric Project","Renewables","181772"
"Gansu Datonghe Tiecheng Hydropower Station Project","Renewables",NA
"FST SMALL-SCALE SOLAR POWER PLANT IN KAMPHAENG PHET, THAILAND","Renewables",NA
"An Qiu Biogas Utilization Project","Supply Chain",NA
"REDD Carbon and Biodiversity Project, Greater El Rey Area, Jujuy, Argentina","Reforestation",NA
"BATIKIPAS BIOGAS PLANT","Supply Chain",NA
"Hubei Longshen Composting Project","Supply Chain",NA
"Qinghai Gangcha Improved Grassland Management Project","Reforestation",NA
"KOSHER BLUE CARBON -1","Reforestation",NA
"One Earth Fund BEC Compost Project 2022","Supply Chain",NA
"Hainan Jinhua IFM(Coversion of logged to protected forest)  Project","Reforestation",NA
"Ratchaburi Farms Biogas Project at Veerachai Farm","Supply Chain","5596"
"Halmahera Zero-Waste Renewable Energy and Biochar Project","Renewables",NA
"WEIYUAN COMPOSTING PROJECT","Supply Chain",NA
"ENHANCING INCOME FOR SMALLHOLDER FARMERS THROUGH HORTICULTURE-BASED CULTIVATION IN THE WESTERN REGION OF INDIA","Reforestation",NA
"GER Recycled PP Project","Supply Chain",NA
"PANÃMA REDD+ PROJECT","Reforestation",NA
"Shunfeng Erhai Composting project in Yousuo","Supply Chain",NA
"Kwango River Project, Democratic Republic of Congo","Reforestation",NA
"Ñangareko Forest Reserve","Reforestation",NA
"Sinohydro Inner Mongolia Ximeng Honggeer Wind Power Project","Renewables","23467"
"14 MW Waste-to-Energy Project by Antony Lara Renewable Energy Pvt. Ltd","Supply Chain",NA
"Shandong Ju County ALM Project","Supply Chain",NA
"ESTIMATION OF THE GHG EMISSIONS OF THE GRUPO TRANSPORTES MONTERREY S.A.P.I. DE C.V. VEHICLE FLEET","Supply Chain",NA
"REDD+ Mwali Project","Reforestation",NA
"PROJECT FOR VERMICOMPOSTING OF LIVESTOCK MANURE IN CHHATTISGARH, INDIA","Supply Chain",NA
"Regeneration Meghalaya","Reforestation",NA
"Trees for Livelihood in Madhya Pradesh, India","Reforestation",NA
"Lishu Blackland Conservation Project in Jilin Province","Reforestation",NA
"Westport GHG Efficient Heavy Duty Vehicles","Supply Chain",NA
"AGROFORESTRY PLANTATIONS TO ENHANCE THE LIVELIHOOD OF RURAL COMMUNITIES IN INDIA","Reforestation",NA
"Ambrosia Agroforestry System, Nagua, Dominican Republic","Supply Chain",NA
"Cuango Farm, Afforestation Colon, Panama","Reforestation",NA
"Fortaleza Ituxi II REDD+","Reforestation",NA
"Muyuan Bengbu AWMS GHG Mitigation Project in Anhui Province","Supply Chain",NA
"Muyuan Bozhou AWMS GHG Mitigation Project in Anhui Province","Supply Chain",NA
"Muyuan Fuyang AWMS GHG Mitigation Project in Anhui Province","Supply Chain",NA
"Muyuan Hengshui AWMS GHG Mitigation Project in Hebei Province","Supply Chain",NA
"Muyuan Huaibei AWMS GHG Mitigation Project in Anhui Province","Supply Chain",NA
"6.0 MW Biomass based cogeneration power plant of Rama Paper Mills Limited, Kiratpur, Uttar Pradesh","Renewables","8144"
"Muyuan Weinan AWMS GHG Mitigation Project in Shaanxi Province","Supply Chain",NA
"Muyuan Xingtai AWMS GHG Mitigation Project in Hebei Province","Supply Chain",NA
"Muyuan Xinzhou AWMS GHG Mitigation Project in Shanxi Province","Supply Chain",NA
"Muyuan Yuncheng AWMS GHG Mitigation Project in Shanxi Province","Supply Chain",NA
"Wudi Lvhe Composting project","Supply Chain",NA
"TIST Program in Kenya, VCS-011","Reforestation",NA
"CBG Plant at Sainsons","Supply Chain",NA
"BHL Thanabhawan Project","Renewables","16814"
"CBG GENERATION FROM MSW","Renewables",NA
"The New Zealand Indigenous Forest Regeneration Project","Reforestation",NA
"The New Zealand Transitional Afforestation Project","Reforestation",NA
"Hengyang Peike Animal Manure Composting Project","Supply Chain",NA
"Improved Grazing Management in Mosaic Forest - Grasslands Landscapes in the Centre-North of Argentina.","Reforestation",NA
"Guangdong Foshan Improved Forest Management Project","Reforestation",NA
"Energy Efficient Stoves Program (EESP) - CER Conversion","Supply Chain","48426"
"Lavardin Improved Forest Management through the Extension of Rotation Age","Reforestation",NA
"One Mara Carbon Project","Reforestation",NA
"McCommas Bluff Landfill Gas Processing Facility – Gas Production and Distribution Project","Supply Chain","33269"
"Legacy Forest Climate Initiative","Reforestation",NA
"SMG - Cookstove Program 20","Supply Chain",NA
"SMG - Cookstove Program 21","Supply Chain",NA
"SMG - Cookstove Program 22","Supply Chain",NA
"SMG - Cookstove Program 23","Supply Chain",NA
"SMG - Cookstove Program 24","Supply Chain",NA
"SMG - Cookstove Program 25","Supply Chain",NA
"TTCA ORGANIC COMPOSTING PROJECT IN ATTAPEU","Supply Chain",NA
"Alxa Left Banner Improved Grassland Management Project","Reforestation",NA
"100 MW Solar PV project by ERBL, Bangladesh","Renewables",NA
"Chol Charoen Group Wastewater Treatment with Biogas System I (Kampangpet)","Supply Chain",NA
"ANGELIM REDD+","Reforestation",NA
"Jiangxi Jinwang Waste Aluminum Recycling Project","Supply Chain",NA
"Selva Norte Conservation Project (CSN+)","Reforestation",NA
"HUOSHENGYUAN COMPOSTING PROJECT IN MIANYANG CITY","Supply Chain",NA
"Knollwood Improved Forest Management Project","Reforestation",NA
"Jinshan Songlin Market Swine Manure Utilization Project","Supply Chain",NA
"Project Reignite: Turning Farm Waste to Climate Action","Supply Chain",NA
"Capricorn Ridge 4 Wind Farm","Renewables","1389354"
"Wardwizard EV Project In India","Supply Chain",NA
"YBYRÁ REDD+ Project","Reforestation",NA
"Selabam Hydropower Extension Project","Renewables",NA
"PUR - Agroforestry in coffee landscapes of Costa Rica","Reforestation",NA
"Tueré REDD+ Project","Reforestation",NA
"Ateles REDD+","Reforestation",NA
"Installation of Low Green House Gases (GHG) Emitting Rolling stock cars in Metro System","Supply Chain","90004"
"Ningxia Pengyang 2021-2023 Afforestation Project","Reforestation",NA
"Shaanxi Ningshan IFM (convesion of logging to protected forest) Project","Reforestation",NA
"GUANGZHOU EASTERN SOLID RESOURCE RECYCLING CENTER FOOD WASTE TREATMENT PHASE II PROJECT","Supply Chain",NA
"COMPOSTING OF ORGANIC WASTE PROJECT IN HUBEI PROVINCE","Supply Chain",NA
"Xinxiang Yanmai Biogas Utilization Project","Supply Chain",NA
"Biaofa Juancheng Animal Manure Management Project","Supply Chain",NA
"Hive Ecosystems project","Reforestation",NA
"Baviaanskloof Carbon Project","Reforestation",NA
"Jinan Landfill Gas to Energy Project","Supply Chain","27092"
"Xinjiang Dabancheng Sanchang Phase III Wind Power Project","Renewables","358397"
"Chahar Right Rear Banner Improved Grassland Management Project","Reforestation",NA
"Xingning Tokzin PET Recycling Project","Supply Chain",NA
"Yecheng Grassland Sustainable Management Project (Phase 2)","Reforestation",NA
"KIS BIOFUELS- UKINDO PROJECT","Supply Chain",NA
"NATURE PANELS, GABON","Supply Chain",NA
"Danish Crown Methane Destruction Voluntary Carbon Offset Group Project in Denmark  (PTB)","Supply Chain",NA
"Tasar Forest Carbon Project","Reforestation",NA
"Strengthening rural livelihood through carbon finance: Agroforestry practices in Gorakhpur Forest Circle of Uttar Pradesh","Reforestation",NA
"The Bogeda 40.5 MW Wind-Farm Project in Urumqi, Xinjiang, China","Renewables","234472"
"Energy Drive Energy Efficiency Grouped Project","Supply Chain",NA
"Brightly - Reducing Food Loss and Waste","Supply Chain",NA
"Permaculture initiative through community participation","Reforestation",NA
"Enhancing rural livelihoods of farmers through carbon finance","Reforestation",NA
"Kajiado Rangelands Carbon Project","Reforestation",NA
"Jinghai Leachate Anaerobic Biogas Utilization Project","Supply Chain",NA
"Bundled Solar Power Project by AMP Energy - 02","Renewables",NA
"Hainan Baisha Improved Forest Management Project","Reforestation",NA
"Bundled Captive Solar Power Project by Dalmia Cement","Renewables",NA
"The Wulabo 30 MW Wind-Farm Project in Urumqi, Xinjiang of China","Renewables","124033"
"Reforestation of Lands for Multiple Purposes as a Sustainable Development Driver","Reforestation",NA
"CTR IPATINGA LANDFILL GAS PROJECT","Supply Chain",NA
"Xinjiang Altay Improved Grassland Management Project","Reforestation",NA
"Livestock 2040/ Uruguay","Supply Chain",NA
"Rabo Carbon Bank Trees for Farmers (TFF) Brazil ARR Grouped Project","Reforestation",NA
"Reforestation activities in Brazil for carbon removals from the atmosphere","Reforestation",NA
"Henan Nanyang Fangcheng Wind Farm Project","Renewables","51681"
"Xinjiang Habahe Improved Grassland Management Project","Reforestation",NA
"Biogas based Poultry Waste Management Project at Siddipet District, Telangana State, India","Supply Chain",NA
"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia","Reforestation",NA
"Switching from Internal Combustion Engine Vehicles to Electric Vehicles of RÊVER Automotive's Customers, Thailand","Supply Chain",NA
"Tang River Improved Cropland Management Project","Supply Chain",NA
"CHENGZI RECYCLED AL PROJECT A","Supply Chain",NA
"Land Life Reforestation and Restoration of Degraded Land in Spain - B","Reforestation",NA
"Inner Mongolia Bayinhanggai 49.5MW Wind Farm Project","Renewables","66723"
"Land Life Reforestation and Restoration of Degraded Land in Spain - A","Reforestation",NA
"The Resilient Tarangire Ecosystem Project","Reforestation",NA
"Yvoty REDD+ Project: Forest Conservation in Eastern Paraguay","Reforestation",NA
"Panambi REDD+ Project: Forest Conservation in the Paraguayan Chaco","Reforestation",NA
"Henan CP Group Swine Farm Biogas Recovery and Utilization Project","Supply Chain",NA
"Carbono Rural Paraguayan Chaco","Supply Chain",NA
"Pantanal REDD+ Program","Reforestation",NA
"RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA","Reforestation",NA
"TAJIMAT PUJUT - El buen vivir - Restauración y conservación de los bosques Awajún del Alto Mayo","Reforestation",NA
"Heilongjiang Shaobaishan Wind Power Project","Renewables","46973"
"WANAMEI (Árbol de vida) Conservando los bosques de Amarakaeri","Reforestation",NA
"BULGARIAN SUSTAINABLE FARMING CARBON PROJECT","Supply Chain",NA
"Fangcheng Improved Cropland Management Project","Supply Chain",NA
"Puning MSW Incineration and Power Generation","Supply Chain",NA
"Core Carbon Electric Vehicles Project","Supply Chain",NA
"JIANGSU SUQIAN AWMS Biogas Recovery and Utilization Project","Supply Chain",NA
"Improved cropland management project in Yunlong","Supply Chain",NA
"28MW Jinkouba Hydropower Project","Renewables","821310"
"HEBEI WEI COUNTY IMPROVED AGRICULTURAL LAND MANAGEMENT PROJECT","Supply Chain",NA
"Mixed afforestation with native and non-native species in Argentina-I","Reforestation",NA
"Yabu Ala Improved Grassland Management Project","Reforestation",NA
"Tamusu Improved Grassland Management Project","Reforestation",NA
"PROMOTING REGENERATIVE AGRICULTURE AND GROWTH THROUGH INCOME GENERATION","Supply Chain",NA
"REGENERATIVE AGRICULTURE IN THE GANGA-BASIN FOR FARMER INCOME AND CLIMATE IMPACT","Supply Chain",NA
"20 MW Enercon Windfarms (SAI) Pvt. Limited in Maharashtra","Renewables","47107"
"Xinjiang Fuyun Improved Grassland Management Project","Reforestation",NA
"Xinjiang Kalamaili Improved Grassland Management Project","Reforestation",NA
"HORTICULTURE PLANTATION IN CENTRAL INDIA","Reforestation",NA
"Vencedor Guajoya REDD+","Reforestation",NA
"Global Biochar Project by EnKIng International","Supply Chain",NA
"Grouped Solar Power Project by Indospace Development Management Pvt. Ltd.","Renewables",NA
"NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION","Supply Chain",NA
"Electric Forklifts and Trucks Nigeria","Supply Chain",NA
"GHG Mitigation by Energy Efficiency Improvement as a result of replacement of Base Transceiver Station electronics in Telecom Towers","Supply Chain","30032"
"Sichuan Ganluo IFM (conversion of logged to protected forest) Project","Reforestation",NA
"Guangxi Guigang Food Waste Recycling Project","Renewables",NA
"South Barito Kapuas Project","Reforestation",NA
"Wuhan Jiangxia Changshankou LFG Power Project Phase I","Supply Chain",NA
"Floating Solar Power Project by AMP Energy In Madhya Pradesh","Renewables",NA
"SUSTAINABLE PERENNIAL ORCHARDS IN ISRAEL (SPOI)","Supply Chain",NA
"Rizome Kawayan Project 1","Reforestation",NA
"Regenerative Agriculture and Forestry Technologies (RAFT) 1","Supply Chain",NA
"Curva de Rodas and La Pradera landfill gas management project","Supply Chain","19722"
"Hwange Conservation and Community Project","Supply Chain",NA
"RECOVERY AND AVOIDANCE OF METHANE FROM INDUSTRIAL WASTEWATER TREATMENT PROJECT AT TSE GROUP, INDONESIA","Supply Chain",NA
"Wuzhong Composting Project","Supply Chain",NA
"Leiyang Hexi Animal Manure Composting Project","Supply Chain",NA
"Evander Solar Solutions PV Grouped Project","Renewables",NA
"CACHOEIRA PORTEIRA CONSERVATION PROJECT","Reforestation",NA
"BAULU PROJECT, DEMOCRATIC REPUBLIC OF CONGO","Reforestation",NA
"Carbon Disclosure SA Solar PV Grouped Project 1","Renewables",NA
"Shandong Tuoji Island Wind Farm Project","Renewables","34528"
"Reduction in GHGs emission from primary aluminium smelter at Hindalco, Hirakud India","Supply Chain","286468"
"National Shale Oil Low-Carbon Intelligent Demonstration Base Carbon Sink Afforestation Project","Reforestation",NA
"Agroforestry Initiative through carbon finance to strengthen rural livelihoods and ecosystems in India","Reforestation",NA
"Rio Muru REDD+ Project","Reforestation",NA
"ALTROOT MUNICIPAL WASTE COMPOSTING OFFSETS","Supply Chain",NA
"BURKINA FASO AGRICULTURAL CARBON PROJECT (BUFACAP)","Supply Chain",NA
"Energy Efficiency Measures Across Commercial Buildings in India by SJPL 001","Supply Chain",NA
"9 MW Wind Power Project in Tamil Nadu by ACC Limited","Renewables","44295"
"Project Terre Boost: Biochar for a Better Tomorrow","Supply Chain",NA
"Marudi Forest Conservation and Restoration Project","Reforestation",NA
"URSTAMM GROUPED PROJECT IFM SWITZERLAND & PILOT PROJECT KELLERAMT","Reforestation",NA
"Hexi Biogas Recovery and Utilization Project","Supply Chain",NA
"Distribution of highly efficient cookstove in Odisha (India)","Supply Chain",NA
"Linfen MSW Incineration and Power Generation Project","Supply Chain",NA
"2.5 MW Bundled Wind Power Project in Maharashtra (India)","Renewables","24987"
"Land Life Reforestation and Restoration of Degraded Land in Colorado","Reforestation",NA
"Land Life Reforestation and Restoration of Degraded Land in Portugal","Reforestation",NA
"Land Life Reforestation and Restoration of Degraded Land in Australia - A","Reforestation",NA
"REDD+ PROJECT - REDDES LOCALES FOR DEVELOPMENT","Reforestation",NA
"Turu EV Charging Network Project","Supply Chain",NA
"EVERGREEN II REDD+ PROJECT","Reforestation",NA
"Solaxy Cookstoves for Healthier Homes and a Greener Kenya","Supply Chain",NA
"Sarbari-I small hydro project of DSL Hydrowatt Limited (DSLHL), Himachal Pradesh, India","Renewables","90842"
"Liaoning Sengda Waste Plastic Recycling Project","Supply Chain",NA
"Godhan Nyay Yojna","Supply Chain",NA
"EKEN IFM SWEDEN NORTH #1","Reforestation",NA
"Seringal Rio Branco REDD+ Project","Reforestation",NA
"eAgronom sustainable farming in Central and Eastern Europe","Supply Chain",NA
"Shandong Dongying alm project","Supply Chain",NA
"Ruvuma Wilderness Project","Reforestation",NA
"Thermal energy from Biomass at Mohota Mills","Renewables","38073"
"'Qarlbo' Afforestation Through High-Quality Timber Over Degraded Grasslands","Reforestation",NA
"Ana Primavesi – Sustainable Farming and Restoration Program","Reforestation",NA
"Carbon Smart Orchards USA","Supply Chain",NA
"Shanxi Danfeng IFM Project","Reforestation",NA
"SOLAR ROOFTOP PROJECT NAKHON PATHOM, THAILAND","Renewables",NA
"CAMERR Carbon Mangrove Ecosystem Restoration & Resilience","Reforestation",NA
"SOLAR PV BESS AND CBG HYBRID PROJECT IN THAILAND","Renewables",NA
"Timor-Leste Mangrove Restoration Project","Reforestation",NA
"Starch Plus Wastewater Treatment And Biogas Utilisation Project","Supply Chain",NA
"Renove ALM Brazil","Reforestation",NA
"Longyou 18MW Hydropower Project in Zhejiang Province","Renewables","172955"
"AMAZONAS APD GROUPED PROJECT","Reforestation",NA
"Incentivising Smallholder Farmers to Transition to Low-Emissions Agriculture and Agroforestry","Supply Chain",NA
"Expanding Green Cover though afforestation in the Himalayan Region of Uttarakhand through communities-leading towards ownership and sustainability","Reforestation",NA
"Reducción de la deforestación y degradación en el parque nacional Bahuaja sonene en la región Puno - Perú","Reforestation",NA
"Improved Agriculture Land Management in Argentina","Supply Chain",NA
"ALA HONKO BLUE CARBON MADAGASCAR","Reforestation",NA
"AWA REDD+ PROJECT","Reforestation",NA
"The Nkuba REDD+ Project","Reforestation",NA
"SMG Solar Water Pump - Program 01","Supply Chain",NA
"50 MW Sipansihaporas Hydro Power Plant, North Sumatra","Renewables","1687679"
"Community Based Agroforestry Project","Reforestation",NA
"Rivulis Climate Row Crops in Europe (RCRC)","Supply Chain",NA
"MODAL SHIFT TO RAILWAY FOR TRANSPORTATION OF CARGO AT HANSALPUR, GUJARAT, INDIA","Supply Chain",NA
"Green Hydrogen Project: Sindh, Pakistan","Supply Chain",NA
"OGA REDD+ PROJECT","Reforestation",NA
"Asha","Reforestation",NA
"AHU REDD+ PROJECT","Reforestation",NA
"KAMPONG CHHNANG 60MW SOLAR POWER PROJECT","Renewables",NA
"210 MW Musi Hydro Power Plant, Bengkulu","Renewables","7635581"
"Yiri","Reforestation",NA
"CARBON SCALE LATAM: AN INITIATIVE TO REDUCE METHANE EMISSIONS FROM ENTERIC FERMENTATION IN LATAM","Supply Chain",NA
"AFFORESTATION AND BIODIVERSITY CONSERVATION PROJECT IN WEST BENGAL","Reforestation",NA
"Improved cookstoves distribution in Congo – Pointe-Noire","Supply Chain",NA
"Improved cookstoves distribution in Congo – Brazzaville North","Supply Chain",NA
"Improved cookstoves distribution in Congo – Brazzaville South","Supply Chain",NA
"NAMI REDD+ PROJECT","Reforestation",NA
"Carbon Smart Cropping and Pasture Systems USA","Supply Chain",NA
"IMPROVED COOKSTOVES DISTRIBUTION IN MOZAMBIQUE – MAPUTO","Supply Chain",NA
"IMPROVED COOKSTOVES DISTRIBUTION IN ANGOLA","Supply Chain",NA
"82 MW Lau Renun Hydro Power Plant, North Sumatra","Renewables","2609231"
