"project_name","scope","credits_issued"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2018","Supply Chain","26208"
"A-Gas 2019-9","Supply Chain","136444"
"Anew - Sharp Bingham Forestry Project","Reforestation","98912"
"Anew - Greenleaf Forestry Project","Reforestation","726539"
"Anew - Pennsylvania Ridges Forestry Project","Reforestation","168471"
"Otter Creek IFM","Reforestation","160057"
"Kite Hammock IFM","Reforestation","225632"
"Hudson Tech 2019-6","Supply Chain","70400"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2016b","Supply Chain","55566"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017b","Supply Chain","121764"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2018b","Supply Chain","130336"
"Tradewater ODS 28","Supply Chain","129697"
"Anew - Burnt Mountain Forestry Project","Reforestation","149123"
"Cold Hollow Carbon - Improved Forest Management Project","Reforestation","232101"
"Tradewater ODS 29","Supply Chain","79438"
"A-Gas 1-2020","Supply Chain","62007"
"A-Gas 2-2020","Supply Chain","94565"
"Hudson Tech 2019-7","Supply Chain","118763"
"Advanced Refrigeration CAL - ARS  001B","Supply Chain","21141"
"Advanced Refrigeration CAN - ARS 001C","Supply Chain","17453"
"Advanced Refrigeration CAL - ARS 002B","Supply Chain","41381"
"Advanced Refrigeration CAN - ARS 002C","Supply Chain","32468"
"Advanced Refrigeration CAL - ARS 003B","Supply Chain","52251"
"Advanced Refrigeration CAN - ARS 003C","Supply Chain","37043"
"Tradewater ODS 30","Supply Chain","108679"
"A-Gas 3-2020","Supply Chain","81042"
"Anew - Shaan Seet Native Community Forestry Project","Reforestation","397513"
"Hudson Tech 2020-1","Supply Chain","89632"
"Tradewater ODS 31","Supply Chain","89898"
"Wabash Abandoned Mine Methane Recovery Project","Supply Chain","72613"
"Hudson Tech 2020-2","Supply Chain","58481"
"Puget Sound Energy Baker-White River Forest Carbon Project","Reforestation","274101"
"Pinnacle Mine Methane Incineration Project","Supply Chain","15657"
"Orient 6 Abandoned Mine Methane Recovery Project","Supply Chain","69492"
"Tradewater ODS 32","Supply Chain","71885"
"Hubbard Creek Coal Gas Incineration Project","Supply Chain","276540"
"WMMC2","Supply Chain",NA
"Middle Fork Abandoned Mine Methane Recovery Project","Supply Chain","54284"
"Tradewater ODS 33","Supply Chain","56697"
"Perennial CN9-2 AMM FLARE PROJECT","Supply Chain",NA
"Bluesource - Spirit Falls Improved Forest Management Project","Reforestation","550289"
"Hudson Tech 2020-3","Supply Chain","59364"
"Foam Blowing Agent Project 001L","Supply Chain","526103"
"Foam Blowing Agent Project 002E","Supply Chain","333499"
"Bluesource - Cypress Improved Forest Management Project","Reforestation",NA
"Finite Carbon - Opal Mountain Ranch IFM","Reforestation","405857"
"Anew - Navajo Nation Forestry Project","Reforestation",NA
"Foam Blowing Agent Project 005","Supply Chain","1666749"
"Hudson Tech HFC Reclamation Project 2020-1","Supply Chain","269803"
"Finite Carbon - Park Forestry IFM","Reforestation","334190"
"Mine 84 Abandoned Mine Methane Recovery Project","Supply Chain","410590"
"Tradewater ODS 34","Supply Chain","101273"
"Finite Carbon - Hiawatha Sportsman's Club IFM","Reforestation","486849"
"Tradewater HFC Reclamation","Supply Chain","10352"
"Anew - 100-Mile Wilderness  Forestry Project","Reforestation","103103"
"Spray Foam Omega 2","Supply Chain","730969"
"Anew - East Branch Forestry Project","Reforestation","156564"
"Forest Carbon Works Rowan Family Forest Project","Reforestation","30279"
"Finite Carbon - AMC Maine Woods Initiative IFM","Reforestation","732351"
"Pattiki 2 Abandoned Mine Methane Recovery Project","Supply Chain","112010"
"A-Gas V1","Supply Chain","83702"
"The Nature Conservancy Washington Rainforest Renewal Project","Reforestation","115697"
"Anew - Rainier Gateway Forestry Project","Reforestation","38312"
"Tradewater ODS 35","Supply Chain","80326"
"New Era Abandoned Mine Methane Recovery Project","Supply Chain","240965"
"UT AgResearch Working Woodlands Project","Reforestation","136682"
"Pleasant Hill Abandoned Mine Methane Recovery Project","Supply Chain","7471"
"Staten Island CA","Reforestation",NA
"Hudson Tech 2020-4","Supply Chain","56334"
"A-Gas V2","Supply Chain","23045"
"A-Gas V3","Supply Chain","16515"
"A-Gas V4","Supply Chain","94592"
"18 Reserves Forest Carbon Project","Reforestation","439593"
"Anew - North Maine Woods Forestry Project","Reforestation","428360"
"Anew - Big Six Forestry Project","Reforestation","275041"
